Unnamed: 0,School Name,URL,City,State,svg_file_path
1878,Marquette University,http://marquette.edu,Milwaukee,WI,logos/Marquette_University/Marquette_University.svg
1879,Milwaukee Area Technical College,http://matc.edu,Milwaukee,WI,logos/Milwaukee_Area_Technical_College/Milwaukee_Area_Technical_College.svg
1880,Medical College of Wisconsin,http://mcw.edu,Milwaukee,WI,Fail
1881,Milwaukee Institute of Art and Design,http://miad.edu,Milwaukee,WI,logos/Milwaukee_Institute_of_Art_and_Design/Milwaukee_Institute_of_Art_and_Design.svg
1882,Moraine Park Technical College,http://morainepark.edu,Fond du Lac,WI,logos/Moraine_Park_Technical_College/Moraine_Park_Technical_College.svg
1883,Milwaukee School of Engineering,http://msoe.edu,Milwaukee,WI,logos/Milwaukee_School_of_Engineering/Milwaukee_School_of_Engineering.svg
1884,Northland College,http://northland.edu,Ashland,WI,logos/Northland_College/Northland_College.svg
1885,Northcentral Technical College,http://ntc.edu,Wausau,WI,Fail
1886,Northeast Wisconsin Technical College,http://nwtc.edu,Green Bay,WI,Fail
1887,Silver Lake College of the Holy Family,http://sl.edu,Manitowoc,WI,logos/Silver_Lake_College_of_the_Holy_Family/Silver_Lake_College_of_the_Holy_Family.svg
1888,Saint Norbert College,http://snc.edu,De Pere,WI,logos/Saint_Norbert_College/Saint_Norbert_College.svg
1889,Cardinal Stritch University,http://stritch.edu,Milwaukee,WI,logos/Cardinal_Stritch_University/Cardinal_Stritch_University.svg
1890,University of Wisconsin Colleges,http://uwc.edu,Madison,WI,logos/University_of_Wisconsin_Colleges/University_of_Wisconsin_Colleges.svg
1891,University of Wisconsin Eau Claire,http://uwec.edu,Eau Claire,WI,Fail
1892,University of Wisconsin Extension,http://uwex.edu,Madison,WI,logos/University_of_Wisconsin_Extension/University_of_Wisconsin_Extension.svg
1893,University of Wisconsin Green Bay,http://uwgb.edu,Green Bay,WI,logos/University_of_Wisconsin_Green_Bay/University_of_Wisconsin_Green_Bay.svg
1894,University of Wisconsin La Crosse,http://uwlax.edu,La Crosse,WI,logos/University_of_Wisconsin_La_Crosse/University_of_Wisconsin_La_Crosse.svg
1895,University of Wisconsin Milwaukee,http://uwm.edu,Milwaukee,WI,logos/University_of_Wisconsin_Milwaukee/University_of_Wisconsin_Milwaukee.svg
1896,University of Wisconsin Oshkosh,http://uwosh.edu,Oshkosh,WI,logos/University_of_Wisconsin_Oshkosh/University_of_Wisconsin_Oshkosh.svg
1897,University of Wisconsin Platteville,http://uwplatt.edu,Platteville,WI,logos/University_of_Wisconsin_Platteville/University_of_Wisconsin_Platteville.svg
1898,University of Wisconsin River Falls,http://uwrf.edu,River Falls,WI,logos/University_of_Wisconsin_River_Falls/University_of_Wisconsin_River_Falls.svg
1899,University of Wisconsin Stevens Point,http://uwsp.edu,Stevens Point,WI,logos/University_of_Wisconsin_Stevens_Point/University_of_Wisconsin_Stevens_Point.svg
1900,University of Wisconsin Superior,http://uwsuper.edu,Superior,WI,logos/University_of_Wisconsin_Superior/University_of_Wisconsin_Superior.svg
