,School Name,URL,City,State
1206,The Cooper Union,http://cooper.edu,New York,NY
1207,Cornell University,http://cornell.edu,Ithaca,NY
1208,Cortland College,http://cortland.edu,Cortland,NY
1209,The City University of New York,http://cuny.edu,New York,NY
1210,The College of Westchester,http://cw.edu,White Plains,NY
1211,Daemen College,http://daemen.edu,Amherst,NY
1212,Dominican College,http://dc.edu,Orangeburg,NY
1213,Delhi State University of New York,http://delhi.edu,Delhi,NY
1214,Dowling College,http://dowling.edu,Long Island,NY
1215,D'Youville College,http://dyc.edu,Buffalo,NY
1216,Erie Community College State University of New York,http://ecc.edu,Orchard Park,NY
1217,Elim Bible Institute,http://elim.edu,Lima,NY
1218,Elmira College,http://elmira.edu,Elmira,NY
1219,Empire State College,http://esc.edu,Saratoga Springs,NY
1220,College of Environmental Science and Forestry,http://esf.edu,Syracuse,NY
1221,Farmingdale State College,http://farmingdale.edu,Farmingdale,NY
1222,Fashion Institute of Technology,http://fitnyc.edu,New York,NY
1223,Finger Lakes Community College,http://flcc.edu,Canandaigua,NY
1224,Fordham University,http://fordham.edu,Bronx,NY
1225,Fredonia University,http://fredonia.edu,Fredonia,NY
1226,Five Towns College,http://ftc.edu,Long Island,NY
1227,Geneseo University,http://geneseo.edu,Geneseo,NY
1228,Globe Institute of Technology,http://globe.edu,New York,NY
1229,The General Theological Seminary,http://gts.edu,New York,NY
1230,Hamilton College,http://hamilton.edu,Clinton,NY
1231,Hartwick College,http://hartwick.edu,Oneonta,NY
1232,Herkimer College,http://herkimer.edu,Herkimer,NY
1233,Hofstra University,http://hofstra.edu,Hempstead,NY
1234,Hudson Valley Community College,http://hvcc.edu,Troy,NY
1235,Hobart and William Smith Colleges,http://hws.edu,Geneva,NY
1236,Institute of Design and Construction,http://idc.edu,Brooklyn,NY
1237,Iona College,http://iona.edu,New Rochelle,NY
1238,Ithaca College,http://ithaca.edu,Ithaca,NY
1239,The Jewish Theological Seminary,http://jtsa.edu,New York,NY
1240,The Juilliard School,http://juilliard.edu,New York,NY
1241,Keuka College,http://keuka.edu,Keuka Park,NY
1242,Lehman College,http://lehman.edu,Bronx,NY
1243,Le Moyne,http://lemoyne.edu,Syracuse,NY
1244,Lim College,http://limcollege.edu,New York,NY
1245,Long Island University,http://liu.edu,Brookville,NY
1246,Manhattan College,http://manhattan.edu,Riverdale,NY
1247,Marist College,http://marist.edu,Poughkeepsie,NY
1248,Metropolitan College of New York,http://mcny.edu,New York,NY
1249,Mercy College,http://mercy.edu,Dobbs Ferry,NY
1250,Marymount Manhattan College,http://mmm.edu,New York,NY
1251,Monroe Community College,http://monroecc.edu,Rochester,NY
1252,Morrisville State College,http://morrisville.edu,Morrisville,NY
1253,Mount Saint Marry College,http://msmc.edu,Newburgh,NY
1254,Icahn School of Medicine at Mount Sinai,http://mssm.edu,New York,NY
1255,Manhattanville College,http://mville.edu,Purchase,NY
1256,Nazareth College,http://naz.edu,Rochester,NY
1257,Nassau Community College,http://ncc.edu,Garden City,NY
1258,New Paltz,http://newpaltz.edu,New Paltz,NY
1259,The New School,http://newschool.edu,New York,NY
1260,Niagara University,http://niagara.edu,Niagara University,NY
1261,Nyack College,http://nyack.edu,Nyack,NY
1262,New York College of Health Professions,http://nycollege.edu,Long Island,NY
1263,New York Film Academy,http://nyfa.edu,New York,NY
1264,New York Institute of Technology,http://nyit.edu,Old Westbury,NY
1265,New York University,http://nyu.edu,New York,NY
1266,State University of New York at Oneonta,http://oneonta.edu,Oneonta,NY
1267,State University of New York at Oswego,http://oswego.edu,Oswego,NY
1268,Pace University,http://pace.edu,New York,NY
1269,Paul Smith's College,http://paulsmiths.edu,Paul Smiths,NY
1270,State University of New York at Plattsburgh,http://plattsburgh.edu,Plattsburgh,NY
1271,State University of New York at Potsdam,http://potsdam.edu,Potsdam,NY
1272,Pratt Institute,http://pratt.edu,Brooklyn,NY
1273,Purchase College,http://purchase.edu,Purchase,NY
1274,Rochester Institute of Technology,http://rit.edu,Rochester,NY
1275,Roberts Wesleyan College,http://roberts.edu,Rochester,NY
1276,University of Rochester,http://rochester.edu,Rochester,NY
1277,Rensselaer Polytechnic Institute,http://rpi.edu,Troy,NY
1278,The Sages Colleges,http://sage.edu,Troy,NY
1279,Saint Bonaventure University,http://sbu.edu,Saint Bonaventure,NY
1280,The New York Conservatory for Dramatic Arts,http://sft.edu,New York,NY
1281,Siena College,http://siena.edu,Loudonville,NY
1282,Saint John Fisher College,http://sjfc.edu,Rochester,NY
1283,Skidmore College,http://skidmore.edu,Saratoga Springs,NY
1284,Sarah Lawrence College,http://slc.edu,Yonkers,NY
1285,Saint Bernard's School of Theology and Ministry,http://stbernards.edu,Rochester,NY
1286,Saint John's University,http://stjohns.edu,Queens,NY
1287,Saint Lawrence University,http://stlawu.edu,Canton,NY
1288,Stony Brook University,http://stonybrook.edu,Stony Brook,NY
1289,Stony Brook Medicine,http://stonybrookmedicine.edu,Stony Brook,NY
1290,The College of Saint Rose,http://strose.edu,Albany,NY
1291,State University of New York,http://suny.edu,(multiple locations),NY
1292,State University of New York at Adirondack,http://sunyacc.edu,Queensbury,NY
1293,State University of New Institute of Technology,http://sunyit.edu,Utica,NY
1294,Jamestown Community College,http://sunyjcc.edu,Jamestown,NY
1295,Orange County Community College,http://sunyorange.edu,Middletown,NY
1296,Rockland Community College,http://sunyrockland.edu,Suffern,NY
1297,Suffolk County Community College,http://sunysuffolk.edu,(multiple locations),NY
1298,Westchester Community College,http://sunywcc.edu,Valhalla,NY
1299,Syracuse University,http://syr.edu,Syracuse,NY
1300,Tompkins Cortland Community College,http://tc3.edu,Dryden,NY
1301,The Touro College and University System,http://touro.edu,New York,NY
1302,Touro College Jacob D. Fuchsberg Law Center,http://tourolaw.edu,Central Islip,NY
1303,Union College,http://union.edu,Schenectady,NY
1304,Upstate Medical University,http://upstate.edu,Syracuse,NY
1305,United States Military Academy West Point,http://usma.edu,West Point,NY
1306,Utica College,http://utica.edu,Utica,NY
1307,Vassar College,http://vassar.edu,Poughkeepsie,NY
1308,Wagner College,http://wagner.edu,Staten Island,NY
1309,Wells College,http://wells.edu,Aurora,NY
1310,Yeshiva University,http://yu.edu,New York,NY
1311,Canton State University of New York,http://canton.edu,Canton,NY
1312,Excelsior College,http://excelsior.edu,Albany,NY
1313,Culinary Institute of America,http://ciachef.edu,Hyde Park,NY
1314,Ashland University,http://ashland.edu,Ashland,OH
1315,Aultman College of Nursing and Health Sciences,http://aultmancollege.edu,Canton,OH
1316,Belmont College,http://belmontcollege.edu,Saint Clairsville,OH
1317,Bowling Green State University,http://bgsu.edu,Bowling Green,OH
1318,Baldwin Wallace University,http://bw.edu,Berea,OH
1319,Capital University,http://capital.edu,Columbus,OH
1320,Case Western Reserve University,http://case.edu,Cleveland,OH
1321,Cincinnati College of Mortuary Science,http://ccms.edu,Cincinnati,OH
1322,Cedarville University,http://cedarville.edu,Cedarville,OH
1323,Central State University,http://centralstate.edu,Wilberforce,OH
1324,Cincinnati State Technical and Community College,http://cincinnatistate.edu,Cincinnati,OH
1325,Central Ohio Technical College,http://cotc.edu,Newark,OH
1326,Columbus State Community College,http://cscc.edu,Columbus,OH
1327,Cleveland State University,http://csuohio.edu,Cleveland,OH
1328,Western Reserve University,http://cwru.edu,Cleveland,OH
1329,Defiance College,http://defiance.edu,Defiance,OH
1330,Denison University,http://denison.edu,Granville,OH
1331,The University of Findlay,http://findlay.edu,Findlay,OH
1332,Franklin University,http://franklin.edu,Columbus,OH
1333,Heidelberg University,http://heidelberg.edu,Tiffin,OH
1334,Hiram College,http://hiram.edu,Hiram,OH
1335,Hocking College,http://hocking.edu,Nelsonville,OH
1336,John Carroll University,http://jcu.edu,University Heights,OH
1337,Kettering College,http://kc.edu,Kettering,OH
1338,Kent State University,http://kent.edu,Kent,OH
1339,Kenyon College,http://kenyon.edu,Gambier,OH
1340,Lakeland Community College,http://lakelandcc.edu,Kirtland,OH
1341,Lima Central Catholic High School,http://lcchs.edu,Lima,OH
1342,Lorain County Community College,http://lorainccc.edu,Elyria,OH
1343,Malone University,http://malone.edu,Canton,OH
1344,Marietta College,http://marietta.edu,Marietta,OH
1345,Miami University,http://miamioh.edu,Oxford,OH
1346,University of Mount Union,http://mountunion.edu,Alliance,OH
1347,Mount Saint Joseph University,http://msj.edu,Cincinnati,OH
1348,Muskingum University,http://muskingum.edu,New Concord,OH
1349,Mount Vernon Nazarene University,http://mvnu.edu,Mount Vernon,OH
1350,North Central State College,http://ncstatecollege.edu,Mansfield,OH
1351,Oberlin College and Conservatory,http://oberlin.edu,Oberlin,OH
1352,Ohio University,http://ohio.edu,Athens,OH
1353,Ohio Dominican University,http://ohiodominican.edu,Columbus,OH
1354,Ohio State University,http://osu.edu,Columbus,OH
1355,Ohio Northern University,http://onu.edu,Ada,OH
1356,Otterbein University,http://otterbein.edu,Westerville,OH
1357,Owens Community College,http://owens.edu,Perrysburg,OH
1358,Ohio Wesleyan University,http://owu.edu,Delaware,OH
1359,University of Rio Grande,http://rio.edu,Rio Grande,OH
1360,Shawnee State University,http://shawnee.edu,Portsmouth,OH
