,Unnamed: 0,Name,URL,logo_wiki_page,logo_src,svg_file_path
180,181,Whole Foods Market,www.wholefoodsmarket.com,https://commons.wikimedia.org/wiki/File:Whole_Foods_Market_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Whole_Foods_Market_logo.svg,logos/Whole_Foods_Market/Whole_Foods_Market.svg
181,182,PPG Industries,www.ppg.com,https://commons.wikimedia.org/wiki/File:PPG_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/db/PPG_Logo.svg,logos/PPG_Industries/PPG_Industries.svg
182,183,Genuine Parts,www.genpt.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/Genuine_Parts/Genuine_Parts.svg
183,184,Icahn Enterprises,www.ielp.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/Icahn_Enterprises/Icahn_Enterprises.svg
184,185,Performance Food Group,www.pfgc.com,https://commons.wikimedia.org/wiki/File:Food_and_Drug_Administration_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Food_and_Drug_Administration_logo.svg,logos/Performance_Food_Group/Performance_Food_Group.svg
185,186,Omnicom Group,www.omnicomgroup.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/Omnicom_Group/Omnicom_Group.svg
186,187,DISH Network,www.dish.com,https://en.wikipedia.org/wiki/File:Original_Dish_Network_logo.svg,//upload.wikimedia.org/wikipedia/en/a/a8/Original_Dish_Network_logo.svg,logos/DISH_Network/DISH_Network.svg
187,188,FirstEnergy,www.firstenergycorp.com,https://commons.wikimedia.org/wiki/File:FirstEnergy_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a4/FirstEnergy_Logo.svg,logos/FirstEnergy/FirstEnergy.svg
188,189,Monsanto,www.monsanto.com,https://sco.wikipedia.org/wiki/File:Monsanto_logo.svg,//upload.wikimedia.org/wikipedia/sco/2/2e/Monsanto_logo.svg,logos/Monsanto/Monsanto.svg
189,190,AES,www.aes.com,https://sco.wikipedia.org/wiki/File:Mitsubishi_Motors_SVG_logo.svg,//upload.wikimedia.org/wikipedia/commons/1/1f/Mitsubishi_Motors_SVG_logo.svg,logos/AES/AES.svg
